scope,ideology,phrase,ngram_n,discovery_log_odds,confirmation_log_odds,same_direction,target_confirmation_df,other_confirmation_df,target_confirmation_rate,other_confirmation_rate,odds_ratio,p_value,q_value_bh,confirmed_q05
all,authoritarian_right,authoritarian right's,2,9.302580563229716,8.64237856850882,True,2711,1,0.04303174603174603,5.291005291005291e-06,8498.669558294216,0.0,0.0,True
all,authoritarian_right,authoritarian right believe,3,8.353700372538428,8.551162389977998,True,850,0,0.013492063492063493,0.0,inf,0.0,0.0,True
all,authoritarian_right,authoritarian right emphasis,3,8.318184972922255,8.53675949834114,True,838,0,0.013301587301587302,0.0,inf,0.0,0.0,True
all,authoritarian_right,authoritarian right standpoint,3,7.774952886729738,8.238659568805641,True,624,0,0.009904761904761904,0.0,inf,0.0,0.0,True
all,authoritarian_right,authoritarian right thinkers,3,7.5427974615891,8.157914354305621,True,576,0,0.009142857142857144,0.0,inf,0.0,0.0,True
all,authoritarian_right,the authoritarian right's,3,8.790850673498735,8.156142661418333,True,1695,1,0.026904761904761904,5.291005291005291e-06,5225.565696109616,0.0,0.0,True
all,authoritarian_right,authoritarian right prioritize,3,7.832235498514627,8.124097196565074,True,557,0,0.00884126984126984,0.0,inf,0.0,0.0,True
all,authoritarian_right,authoritarian right supporters,3,7.8027517616703115,8.103992857113651,True,546,0,0.008666666666666666,0.0,inf,0.0,0.0,True
all,authoritarian_right,authoritarian right generally,3,7.807725451809832,8.009269842542967,True,497,0,0.00788888888888889,0.0,inf,1.370339788481786e-300,7.483130021415242e-300,True
all,authoritarian_right,authoritarian right principles,3,7.827380505220816,7.9970402355144286,True,491,0,0.007793650793650794,0.0,inf,5.8153045035308974e-297,3.0848805794921045e-296,True
