model,n,accuracy,macro_f1,negative_f1,positive_f1,mean_confidence,positive_pred_rate,positive_gold_rate
gemma-3-1b-it,54000,0.5235555555555556,0.5120329732793671,0.4370487068399632,0.5870172397187711,0.891852266870203,0.5203333333333333,0.6333333333333333
gemma-3-4b-it,54000,0.5328148148148149,0.5328092719717329,0.53120005946408,0.5344184844793858,0.8978801098176916,0.3701111111111111,0.6333333333333333
gemma-3-12b-it,54000,0.5625,0.5613061556322538,0.538420960084403,0.5841913511801046,0.9152670321773718,0.41883333333333334,0.6333333333333333
gemma-3-27b-it,54000,0.55,0.549623165563361,0.5626507325150283,0.5365955986116938,0.9473710161456161,0.33774074074074073,0.6333333333333333
Qwen3-4B,54000,0.5796296296296296,0.5731879354662555,0.5207532829455728,0.625622587986938,0.8361819951473971,0.4895185185185185,0.6333333333333333
Qwen3-8B,54000,0.5903703703703703,0.5790169032199193,0.5098821235487015,0.648151682891137,0.8037801906966033,0.5308888888888889,0.6333333333333333
Qwen3-14B,54000,0.5837592592592593,0.5811513488370366,0.5481010876776775,0.6142016099963955,0.8302385952746278,0.44557407407407407,0.6333333333333333
Qwen3-32B,54000,0.5851296296296297,0.5796651834627609,0.5317392303994315,0.6275911365260901,0.7850607891374605,0.48068518518518516,0.6333333333333333
