model,metric,Ideology SD,Total Var SD,Residual RMSE,Context,Instruction,Key Type,Permutation,Persona
gemma-3-1b-it,macro_f1,0.0031034841801211932,0.12151544891910954,0.10612001649482401,0.019328522849460787,0.029714157720592382,0.033315790536911465,0.03391521053784879,0.0270446009799896
gemma-3-4b-it,macro_f1,0.05195455711076787,0.16027534844717628,0.13978081599371492,0.025592999945513426,0.05899557354636256,0.018421999682872146,0.026642998174728007,0.038360829576031145
gemma-3-12b-it,macro_f1,0.07081978323397829,0.1509606316448726,0.1276113893722634,0.043325792395491544,0.04522508057048505,0.027429518052793336,0.025317545133281452,0.03212904703888868
gemma-3-27b-it,macro_f1,0.08483505376384592,0.14684005940039768,0.11366344979282092,0.033886725383722824,0.05902255130020483,0.012774818706286576,0.028754403872200532,0.032038882474684206
Qwen3-4B,macro_f1,0.022495148659235024,0.17363592889351337,0.14745621829704525,0.027635750735535473,0.0657680942565167,0.046468403056088084,0.03755622698666204,0.032195835740522066
Qwen3-8B,macro_f1,0.04589856280044017,0.1736446619030069,0.1355690884728893,0.0562702208522201,0.08664395136214956,0.02534564937107514,0.02464743355763461,0.031988357598496
Qwen3-14B,macro_f1,0.06805902795148558,0.16444979271851864,0.12969114094690368,0.045064561694262546,0.08003261510768232,0.03842864345165849,0.02320373687478175,0.026132731487893534
Qwen3-32B,macro_f1,0.07043779685317945,0.17338539145242152,0.12175841266787202,0.07095492633641169,0.08966553900359553,0.04420299603170095,0.015371692640161095,0.03442516785805779
