model,Mean P(Hate),Total Var SD,Ideology SD,Intrinsic Blur,Residual Jitter,persona_combo_sd,context_combo_sd,instr_combo_sd,persona_combo_k,persona_combo_log10p,context_combo_k,context_combo_log10p,instr_combo_k,instr_combo_log10p,ideology_log10p
google/gemma-3-1b-it,0.48831605864587446,0.42755899496777167,0.07401144534609866,0.333673811361198,0.10563954119295269,0.05870644522499393,0.06718219338719442,0.2187840222918097,5,-60.57691537433691,6,-91.58789971295234,6,-532.4262016587438,-68.86853821609319
google/gemma-3-4b-it,0.35955812158857936,0.3826541831544898,0.11540646388505943,0.29364812827117404,0.13756641859095414,0.07790269630725777,0.12566611073210543,0.0936631096147482,5,-67.84920022650088,6,-187.23014608347023,6,-96.6411961570083,-123.77413889420454
google/gemma-3-12b-it,0.4140829624371467,0.2665352964788878,0.06273180985986282,0.2251512704981809,0.07207381377017688,0.04790420080589562,0.06178009176114364,0.07614606616168594,5,-85.16424762986942,6,-169.79505335176745,6,-228.39619355911793,-103.5435772293723
google/gemma-3-27b-it,0.5148760551983396,0.23430912193722234,0.060386562247017474,0.20181373559471072,0.05537658653937091,0.055744205378110284,0.03847865738275237,0.06094183756629804,5,-170.10257461047578,6,-117.39552809567832,6,-248.94948901148726,-119.02792907089837
Qwen/Qwen3-4B,0.22594131973840637,0.37287888015729015,0.09913323418259275,0.33132423972020264,0.06533220866380798,0.06352785538503453,0.0759815330487954,0.07815511634187,5,-152.34163406924324,6,-262.0356934648175,6,-270.9513795660116,-250.08818211431932
Qwen/Qwen3-8B,0.40989993084188514,0.4147220397956783,0.13135028969540577,0.33456902503398467,0.10111518514361947,0.07996181480907986,0.13600096710494336,0.0967538823497651,5,-128.32035429161473,6,-329.89021010067984,6,-173.25920030418146,-232.3988664837982
Qwen/Qwen3-14B,0.35084224123007735,0.29480782787850135,0.01664982660616467,0.27714034321259745,0.053239275849429835,0.03552056122401611,0.025745146120277396,0.06777983392115494,5,-78.51452579139081,6,-64.0528760524744,6,-307.6773622794839,-19.418895762716335
Qwen/Qwen3-32B,0.50261265142882,0.38395283642617656,0.03216594032148406,0.37231898272791164,0.04496727056007866,0.01694456683138067,0.046007681083363595,0.06158934191450584,5,-20.216842069030545,6,-221.06821988522654,6,-328.68281827338535,-55.09020853583705
