model,Mean P(Hate),Total Var SD,Ideology SD,Intrinsic Blur,Residual Jitter,persona_combo_sd,context_combo_sd,instr_combo_sd,persona_combo_k,persona_combo_log10p,context_combo_k,context_combo_log10p,instr_combo_k,instr_combo_log10p,ideology_log10p
google/gemma-3-1b-it,0.48831605864587446,0.42755899496777167,0.07401144534609866,0.333673811361198,0.10563954119295269,0.05870644522499393,0.06718219338719442,0.2187840222918097,5,-60.57691537433691,6,-91.58789971295236,6,-532.4262016587437,-68.86853821609265
google/gemma-3-4b-it,0.35955812158857936,0.3826541831544898,0.11540646388505943,0.29364812827117404,0.13756641859095414,0.07790269630725775,0.12566611073210543,0.09366310961474819,5,-67.84920022650084,6,-187.23014608347023,6,-96.64119615700825,-123.77413889420414
google/gemma-3-12b-it,0.4140829624371467,0.2665352964788878,0.06273180985986282,0.2251512704981809,0.07207381377017688,0.04790420080589564,0.061780091761143616,0.07614606616168593,5,-85.16424762986946,6,-169.79505335176736,6,-228.396193559118,-103.54357722937179
google/gemma-3-27b-it,0.5148760551983396,0.23430912193722234,0.060386562247017474,0.20181373559471072,0.055376586539370894,0.05574420537811029,0.03847865738275237,0.06094183756629804,5,-170.10257461047587,6,-117.39552809567837,6,-248.9494890114872,-119.02792907089793
Qwen/Qwen3-4B,0.22594131973840637,0.37287888015729015,0.09913323418259275,0.33132423972020264,0.06533220866380798,0.06352785538503453,0.07598153304879539,0.07815511634187,5,-152.34163406924327,6,-262.0356934648174,6,-270.95137956601155,-250.08818211431912
Qwen/Qwen3-8B,0.40989993084188514,0.4147220397956783,0.13135028969540577,0.33456902503398467,0.10111518514361947,0.07996181480907986,0.13600096710494336,0.0967538823497651,5,-128.32035429161473,6,-329.89021010067995,6,-173.2592003041814,-232.39886648379772
Qwen/Qwen3-14B,0.35084224123007735,0.29480782787850135,0.01664982660616467,0.27714034321259745,0.05323927584942984,0.0355205612240161,0.025745146120277403,0.06777983392115493,5,-78.51452579139081,6,-64.05287605247439,6,-307.67736227948376,-19.418895762716133
Qwen/Qwen3-32B,0.50261265142882,0.38395283642617656,0.03216594032148406,0.37231898272791164,0.04496727056007866,0.01694456683138067,0.04600768108336359,0.06158934191450583,5,-20.216842069030562,6,-221.06821988522654,6,-328.6828182733853,-55.09020853583728
