level,ideology,metric,metric_type,n_pairs,n_design_clusters,normal_mean,abliterated_mean,difference_abliterated_minus_normal,cluster_robust_ci_low,cluster_robust_ci_high,cluster_mean_ttest_p,q_bh_within_level
item,all,stage1_tokens,continuous,111600,1800,239.54763440860216,217.95129928315413,-21.59633512544803,-23.161513368710228,-20.03115688218583,1.895994976243217e-135,6.762382081934141e-134
item,all,visible_words,continuous,111600,1800,174.97671146953405,158.10022401433693,-16.876487455197132,-18.042712966405766,-15.710261943988499,1.3786810141411466e-146,1.4751886851310267e-144
item,all,classification_entropy,continuous,111600,1800,0.025309942302681132,0.023689422841062704,-0.0016205194616184255,-0.0027203902769530382,-0.0005206486462838126,0.0039256996136639855,0.008572446095143805
item,all,classification_margin,continuous,111600,1800,0.9791983250666882,0.9804238861889989,0.0012255611223106074,0.00020441966461794028,0.0022467025800032743,0.01876156930236222,0.035879966613284145
item,all,explicit_stance_found,binary,111600,1800,0.9701075268817204,0.9774551971326165,0.007347670250896057,0.0053266744775909165,0.0093686660242012,1.4901902336247902e-12,4.982823593682892e-12
item,all,stage1_stage2_agree,binary,111600,1800,0.8764784946236559,0.8899014336917562,0.013422939068100359,0.010453892736262068,0.016391985399938653,1.8611313196833557e-18,8.29754380025496e-18
item,all,target_aligned,binary,73200,1200,0.7437568306010929,0.7462158469945355,0.002459016393442623,-0.00033417513244437917,0.005252207919329622,0.08469376189147848,0.1352572018266895
item,all,target_projection_expected,continuous,73200,1200,0.16134666535036693,0.1613747905066543,2.8125156287355466e-05,-0.0015360031666092895,0.0015922534791839994,0.9718914676709787,0.9862701724490963
item,all,visible_hedging_present,binary,111600,1800,0.32451612903225807,0.3181989247311828,-0.006317204301075269,-0.009651296609911977,-0.0029831119922385588,0.00021050191215971547,0.0005362786809783227
item,all,visible_balance_present,binary,111600,1800,0.15052867383512544,0.15051075268817204,-1.7921146953405018e-05,-0.002058789760212152,0.002022947466305342,0.9862701724490963,0.9862701724490963
item,all,visible_actual_refusal_present,binary,111600,1800,0.0016129032258064516,0.00043906810035842294,-0.0011738351254480287,-0.0014632829956926134,-0.0008843872552034436,3.2986394234672385e-15,1.1765147277033152e-14
item,all,visible_moral_distance_present,binary,111600,1800,0.060770609318996416,0.03289426523297491,-0.027876344086021507,-0.029825489804518237,-0.02592719836752477,9.109265149845072e-144,4.8734568551671134e-142
item,all,visible_persona_meta_present,binary,111600,1800,0.22201612903225806,0.21170250896057347,-0.010313620071684588,-0.015088745753766359,-0.005538494389602814,2.4186485017168625e-05,6.635779222659085e-05
item,all,visible_self_correction_present,binary,111600,1800,0.03775985663082437,0.037240143369175624,-0.0005197132616487455,-0.0019870164618857227,0.0009475899385882321,0.4876309970112115,0.5797390742244403
item,all,visible_counterargument_present,binary,111600,1800,0.016881720430107525,0.01746415770609319,0.0005824372759856631,-0.00035057500770247743,0.0015154495596738035,0.22128635673285324,0.3035594893642987
item,all,persona_vocab_overlap_fraction,continuous,111600,1800,0.11062168889984832,0.10504631894948697,-0.005575369950361354,-0.0060602087869839946,-0.0050905311137387135,2.7613792883676495e-99,7.386689596383462e-98
item,authoritarian_left,stage1_tokens,continuous,18600,300,233.2444623655914,210.74962365591398,-22.49483870967742,-26.714377066720658,-18.275300352634176,5.451809834012148e-22,2.777826915425237e-21
item,authoritarian_left,visible_words,continuous,18600,300,173.32381720430106,155.5151075268817,-17.808709677419355,-20.984934367828338,-14.632484987010372,8.009348672603592e-24,4.5105279366767596e-23
item,authoritarian_left,classification_entropy,continuous,18600,300,0.022049963332069447,0.019614164020588187,-0.0024357993114812603,-0.0045409625470669325,-0.00033063607589558673,0.024052490361097006,0.043620618112497955
item,authoritarian_left,classification_margin,continuous,18600,300,0.9813168336684597,0.9838789870443302,0.002562153375870751,0.00040048086779544264,0.00472382588394606,0.020843548484792015,0.03845275323918527
item,authoritarian_left,explicit_stance_found,binary,18600,300,0.9836559139784946,0.986021505376344,0.0023655913978494624,-0.0009040581868014789,0.005635240982500403,0.1572146127253234,0.2273238319136433
item,authoritarian_left,stage1_stage2_agree,binary,18600,300,0.9016666666666666,0.9139784946236559,0.012311827956989247,0.005576131114587428,0.019047524799391067,0.00039702800615093724,0.0009879534106546578
item,authoritarian_left,target_aligned,binary,18300,300,0.6219125683060109,0.6476502732240437,0.025737704918032785,0.020337713862889822,0.03113769597317575,2.262350826164589e-18,9.682861535984441e-18
item,authoritarian_left,target_projection_expected,continuous,18300,300,0.11832734120542523,0.131931154646051,0.013603813440625785,0.010563603143484588,0.016644023737766973,1.378192663091478e-16,5.266664819671006e-16
item,authoritarian_left,visible_hedging_present,binary,18600,300,0.2752688172043011,0.266505376344086,-0.008763440860215055,-0.017034626884766403,-0.0004922548356637007,0.03868790977372708,0.0667678442869161
item,authoritarian_left,visible_balance_present,binary,18600,300,0.07306451612903225,0.07349462365591398,0.00043010752688172043,-0.003757260099984257,0.0046174751537477,0.8405834045273523,0.9085093362063302
item,authoritarian_left,visible_actual_refusal_present,binary,18600,300,0.0009139784946236559,0.0,-0.0009139784946236559,-0.0013864557392861535,-0.00044150124996115796,0.00018114345735533076,0.00047274024236635103
item,authoritarian_left,visible_moral_distance_present,binary,18600,300,0.06010752688172043,0.030591397849462364,-0.029516129032258063,-0.033964796926284624,-0.025067461138231495,5.998644801693458e-31,4.584678527008572e-30
item,authoritarian_left,visible_persona_meta_present,binary,18600,300,0.26091397849462367,0.25327956989247313,-0.007634408602150537,-0.02075130222064256,0.005482485016341484,0.2548759322409653,0.33668795987386774
item,authoritarian_left,visible_self_correction_present,binary,18600,300,0.025268817204301075,0.023118279569892472,-0.002150537634408602,-0.005293566367514084,0.0009924910986968804,0.18091223451773658,0.25810145457863753
item,authoritarian_left,visible_counterargument_present,binary,18600,300,0.00456989247311828,0.005752688172043011,0.0011827956989247312,-0.0002888436671840463,0.0026544350650335087,0.1162437105015455,0.17275106977313012
item,authoritarian_left,persona_vocab_overlap_fraction,continuous,18600,300,0.12795198799699925,0.12346086521630407,-0.004491122780695174,-0.0055469545086877375,-0.0034352910527026097,2.812147602555311e-15,1.0375854947359251e-14
item,authoritarian_right,stage1_tokens,continuous,18600,300,232.19290322580645,202.16887096774192,-30.024032258064516,-36.3308836410681,-23.71718087506093,2.455108762738194e-18,1.010371683126872e-17
item,authoritarian_right,visible_words,continuous,18600,300,170.68887096774193,147.36268817204302,-23.326182795698926,-28.06678068306468,-18.585584908333164,2.434409646989376e-19,1.1840083283084691e-18
item,authoritarian_right,classification_entropy,continuous,18600,300,0.021859846668835756,0.019198871731071213,-0.002660974937764539,-0.005181122432639124,-0.00014082744288995306,0.03935549685338466,0.0668418756081295
item,authoritarian_right,classification_margin,continuous,18600,300,0.9818668948578291,0.984236084925396,0.0023691900675668572,9.158133958566891e-05,0.004646798795548045,0.042348283311496884,0.07080103616140886
item,authoritarian_right,explicit_stance_found,binary,18600,300,0.9751075268817204,0.980752688172043,0.00564516129032258,0.000962332385346292,0.01032799019529887,0.018778300283587963,0.035879966613284145
item,authoritarian_right,stage1_stage2_agree,binary,18600,300,0.8918279569892473,0.9120967741935484,0.020268817204301074,0.011895352529212979,0.02864228187938917,3.244784885189549e-06,9.919770934722335e-06
item,authoritarian_right,target_aligned,binary,18300,300,0.7857923497267759,0.7891256830601093,0.0033333333333333335,-0.0024585425521558278,0.009125209218822494,0.26021714503666366,0.3395516404746709
item,authoritarian_right,target_projection_expected,continuous,18300,300,0.17029852552067573,0.16939486227181857,-0.0009036632488571265,-0.004132023793128519,0.0023246972954142657,0.5836678521533987,0.6788310889175397
item,authoritarian_right,visible_hedging_present,binary,18600,300,0.27655913978494623,0.257741935483871,-0.01881720430107527,-0.029139596967277033,-0.008494811634873508,0.0004112515556342357,0.0010000890102923458
item,authoritarian_right,visible_balance_present,binary,18600,300,0.07370967741935484,0.07279569892473119,-0.0009139784946236559,-0.005157181065507097,0.0033292240762597845,0.6731965999249135,0.7662982573613377
