feature,model_variant,family,protocol,size_b,regime,analysis_scope,questions,informative_questions,substantive_pockets,right_more_pockets,left_more_pockets,mean_risk_difference,median_risk_difference,max_abs_risk_difference,informative_fraction,pocket_fraction_of_informative
hedging,Qwen3-4B_no_think,Qwen3,no_think,4.0,libertarian,primary,62,62,35,15,20,-0.010376344086021507,-0.01,0.20666666666666667,1.0,0.5645161290322581
hedging,Qwen3-4B_think,Qwen3,think,4.0,authoritarian,primary,62,62,30,18,12,0.016344086021505378,-0.013333333333333334,0.22,1.0,0.4838709677419355
hedging,Qwen3-4B_think,Qwen3,think,4.0,libertarian,primary,62,62,32,15,17,-0.0006451612903225805,0.0,0.25333333333333335,1.0,0.5161290322580645
hedging,Qwen3-8B_no_think,Qwen3,no_think,8.0,authoritarian,primary,62,62,41,24,17,0.024623655913978495,0.01,0.29,1.0,0.6612903225806451
hedging,Qwen3-8B_no_think,Qwen3,no_think,8.0,libertarian,primary,62,62,47,32,15,0.03553763440860215,0.05333333333333333,0.24,1.0,0.7580645161290323
hedging,Qwen3-8B_think,Qwen3,think,8.0,authoritarian,primary,62,62,48,23,25,0.0128494623655914,-0.023333333333333334,0.28,1.0,0.7741935483870968
hedging,Qwen3-8B_think,Qwen3,think,8.0,libertarian,primary,62,62,45,32,13,0.03365591397849463,0.05,0.27666666666666667,1.0,0.7258064516129032
hedging,gemma-3-12b-it,Gemma-3,standard,12.0,authoritarian,primary,62,62,46,22,24,-0.003440860215053764,-0.015,0.21333333333333335,1.0,0.7419354838709677
hedging,gemma-3-12b-it,Gemma-3,standard,12.0,libertarian,primary,62,62,41,18,23,-0.016344086021505378,-0.023333333333333334,0.30666666666666664,1.0,0.6612903225806451
hedging,gemma-3-1b-it,Gemma-3,standard,1.0,authoritarian,primary,62,62,10,10,0,0.021720430107526882,0.02,0.09,1.0,0.16129032258064516
hedging,gemma-3-1b-it,Gemma-3,standard,1.0,libertarian,primary,62,60,2,0,2,0.0029032258064516127,0.0033333333333333335,0.06,0.967741935483871,0.03333333333333333
hedging,gemma-3-27b-it,Gemma-3,standard,27.0,authoritarian,primary,62,62,36,21,15,0.0012903225806451613,0.006666666666666667,0.25333333333333335,1.0,0.5806451612903226
hedging,gemma-3-27b-it,Gemma-3,standard,27.0,libertarian,primary,62,62,33,14,19,-0.00435483870967742,0.008333333333333333,0.22,1.0,0.532258064516129
hedging,gemma-3-4b-it,Gemma-3,standard,4.0,authoritarian,primary,62,62,37,11,26,-0.020268817204301074,-0.02,0.16666666666666666,1.0,0.5967741935483871
hedging,gemma-3-4b-it,Gemma-3,standard,4.0,libertarian,primary,62,62,32,2,30,-0.049892473118279566,-0.04666666666666667,0.2,1.0,0.5161290322580645
moral_distance,Qwen3-14B_no_think,Qwen3,no_think,14.0,authoritarian,primary,62,0,0,0,0,-0.002204301075268817,0.0,0.04666666666666667,0.0,
moral_distance,Qwen3-14B_no_think,Qwen3,no_think,14.0,libertarian,primary,62,1,1,0,1,-0.003655913978494624,0.0,0.09333333333333334,0.016129032258064516,1.0
moral_distance,Qwen3-14B_think,Qwen3,think,14.0,authoritarian,primary,62,0,0,0,0,0.00010752688172043012,0.0,0.0033333333333333335,0.0,
moral_distance,Qwen3-14B_think,Qwen3,think,14.0,libertarian,primary,62,0,0,0,0,0.0004301075268817205,0.0,0.013333333333333334,0.0,
moral_distance,Qwen3-32B_no_think,Qwen3,no_think,32.0,authoritarian,primary,62,0,0,0,0,-0.0007526881720430108,0.0,0.013333333333333334,0.0,
moral_distance,Qwen3-32B_no_think,Qwen3,no_think,32.0,libertarian,primary,62,1,1,0,1,-0.010860215053763441,-0.0033333333333333335,0.08333333333333333,0.016129032258064516,1.0
moral_distance,Qwen3-32B_think,Qwen3,think,32.0,authoritarian,primary,62,0,0,0,0,5.376344086021506e-05,0.0,0.0033333333333333335,0.0,
moral_distance,Qwen3-32B_think,Qwen3,think,32.0,libertarian,primary,62,0,0,0,0,-0.0011827956989247312,0.0,0.02666666666666667,0.0,
moral_distance,Qwen3-4B_no_think,Qwen3,no_think,4.0,authoritarian,primary,62,0,0,0,0,-0.0013978494623655914,0.0,0.03333333333333333,0.0,
moral_distance,Qwen3-4B_no_think,Qwen3,no_think,4.0,libertarian,primary,62,1,0,0,0,-0.004139784946236559,0.0,0.04,0.016129032258064516,0.0
moral_distance,Qwen3-4B_think,Qwen3,think,4.0,authoritarian,primary,62,0,0,0,0,0.00010752688172043012,0.0,0.0033333333333333335,0.0,
moral_distance,Qwen3-4B_think,Qwen3,think,4.0,libertarian,primary,62,0,0,0,0,0.0,0.0,0.006666666666666667,0.0,
moral_distance,Qwen3-8B_no_think,Qwen3,no_think,8.0,authoritarian,primary,62,0,0,0,0,-0.003333333333333333,0.0,0.03333333333333333,0.0,
moral_distance,Qwen3-8B_no_think,Qwen3,no_think,8.0,libertarian,primary,62,0,0,0,0,-0.007956989247311828,-0.0033333333333333335,0.05333333333333334,0.0,
moral_distance,Qwen3-8B_think,Qwen3,think,8.0,authoritarian,primary,62,0,0,0,0,-0.000967741935483871,0.0,0.016666666666666666,0.0,
moral_distance,Qwen3-8B_think,Qwen3,think,8.0,libertarian,primary,62,0,0,0,0,-0.0014516129032258066,0.0,0.016666666666666666,0.0,
moral_distance,gemma-3-12b-it,Gemma-3,standard,12.0,authoritarian,primary,62,19,14,1,13,-0.03924731182795699,-0.025,0.3,0.3064516129032258,0.7368421052631579
moral_distance,gemma-3-12b-it,Gemma-3,standard,12.0,libertarian,primary,62,36,31,1,30,-0.056344086021505375,-0.051666666666666666,0.21,0.5806451612903226,0.8611111111111112
moral_distance,gemma-3-1b-it,Gemma-3,standard,1.0,authoritarian,primary,62,20,4,0,4,-0.02,-0.016666666666666666,0.08333333333333333,0.3225806451612903,0.2
moral_distance,gemma-3-1b-it,Gemma-3,standard,1.0,libertarian,primary,62,26,8,0,8,-0.026666666666666665,-0.023333333333333334,0.08,0.41935483870967744,0.3076923076923077
moral_distance,gemma-3-27b-it,Gemma-3,standard,27.0,authoritarian,primary,62,16,13,1,12,-0.03381720430107527,-0.023333333333333334,0.2866666666666667,0.25806451612903225,0.8125
moral_distance,gemma-3-27b-it,Gemma-3,standard,27.0,libertarian,primary,62,44,31,0,31,-0.06806451612903225,-0.056666666666666664,0.2,0.7096774193548387,0.7045454545454546
moral_distance,gemma-3-4b-it,Gemma-3,standard,4.0,authoritarian,primary,62,5,3,0,3,-0.025161290322580646,-0.021666666666666667,0.09333333333333334,0.08064516129032258,0.6
moral_distance,gemma-3-4b-it,Gemma-3,standard,4.0,libertarian,primary,62,19,16,0,16,-0.04618279569892473,-0.04166666666666667,0.13,0.3064516129032258,0.8421052631578947
persona_meta,Qwen3-14B_no_think,Qwen3,no_think,14.0,authoritarian,primary,62,62,8,0,8,-0.017150537634408606,-0.016666666666666666,0.08666666666666667,1.0,0.12903225806451613
persona_meta,Qwen3-14B_no_think,Qwen3,no_think,14.0,libertarian,primary,62,62,14,3,11,-0.02467741935483871,-0.028333333333333335,0.12333333333333334,1.0,0.22580645161290322
persona_meta,Qwen3-14B_think,Qwen3,think,14.0,authoritarian,primary,62,62,12,1,11,-0.02,-0.021666666666666667,0.07333333333333333,1.0,0.1935483870967742
persona_meta,Qwen3-14B_think,Qwen3,think,14.0,libertarian,primary,62,62,26,15,11,0.010107526881720431,0.015,0.13333333333333333,1.0,0.41935483870967744
persona_meta,Qwen3-32B_no_think,Qwen3,no_think,32.0,authoritarian,primary,62,62,40,0,40,-0.06301075268817205,-0.06,0.13,1.0,0.6451612903225806
persona_meta,Qwen3-32B_no_think,Qwen3,no_think,32.0,libertarian,primary,62,62,58,0,58,-0.09166666666666667,-0.09333333333333334,0.16666666666666666,1.0,0.9354838709677419
persona_meta,Qwen3-32B_think,Qwen3,think,32.0,authoritarian,primary,62,62,15,1,14,-0.02532258064516129,-0.025,0.09,1.0,0.24193548387096775
persona_meta,Qwen3-32B_think,Qwen3,think,32.0,libertarian,primary,62,62,25,20,5,0.022580645161290325,0.023333333333333334,0.11666666666666667,1.0,0.4032258064516129
persona_meta,Qwen3-4B_no_think,Qwen3,no_think,4.0,authoritarian,primary,62,62,31,0,31,-0.05021505376344086,-0.04833333333333334,0.11666666666666667,1.0,0.5
persona_meta,Qwen3-4B_no_think,Qwen3,no_think,4.0,libertarian,primary,62,62,6,0,6,-0.012688172043010754,-0.011666666666666667,0.07333333333333333,1.0,0.0967741935483871
persona_meta,Qwen3-4B_think,Qwen3,think,4.0,authoritarian,primary,62,62,20,0,20,-0.03731182795698925,-0.03333333333333333,0.10333333333333333,1.0,0.3225806451612903
persona_meta,Qwen3-4B_think,Qwen3,think,4.0,libertarian,primary,62,62,6,5,1,0.010698924731182795,0.011666666666666667,0.08333333333333333,1.0,0.0967741935483871
persona_meta,Qwen3-8B_no_think,Qwen3,no_think,8.0,authoritarian,primary,62,62,19,2,17,-0.025698924731182796,-0.028333333333333335,0.08666666666666667,1.0,0.3064516129032258
persona_meta,Qwen3-8B_no_think,Qwen3,no_think,8.0,libertarian,primary,62,62,15,1,14,-0.021236559139784946,-0.021666666666666667,0.07333333333333333,1.0,0.24193548387096775
persona_meta,Qwen3-8B_think,Qwen3,think,8.0,authoritarian,primary,62,62,11,0,11,-0.02403225806451613,-0.023333333333333334,0.07333333333333333,1.0,0.1774193548387097
persona_meta,Qwen3-8B_think,Qwen3,think,8.0,libertarian,primary,62,62,10,5,5,0.000645161290322581,0.0033333333333333335,0.07,1.0,0.16129032258064516
persona_meta,gemma-3-12b-it,Gemma-3,standard,12.0,authoritarian,primary,62,62,3,0,3,-0.007365591397849462,-0.005,0.06333333333333334,1.0,0.04838709677419355
persona_meta,gemma-3-12b-it,Gemma-3,standard,12.0,libertarian,primary,62,62,26,0,26,-0.04408602150537635,-0.043333333333333335,0.1,1.0,0.41935483870967744
persona_meta,gemma-3-1b-it,Gemma-3,standard,1.0,authoritarian,primary,62,41,0,0,0,0.0002688172043010752,0.0,0.04,0.6612903225806451,0.0
persona_meta,gemma-3-1b-it,Gemma-3,standard,1.0,libertarian,primary,62,50,3,0,3,-0.02252688172043011,-0.023333333333333334,0.07,0.8064516129032258,0.06
persona_meta,gemma-3-27b-it,Gemma-3,standard,27.0,authoritarian,primary,62,62,48,0,48,-0.07365591397849462,-0.07333333333333333,0.18666666666666668,1.0,0.7741935483870968
persona_meta,gemma-3-27b-it,Gemma-3,standard,27.0,libertarian,primary,62,62,55,0,55,-0.08978494623655914,-0.08,0.19,1.0,0.8870967741935484
persona_meta,gemma-3-4b-it,Gemma-3,standard,4.0,authoritarian,primary,62,62,47,0,47,-0.0678494623655914,-0.07,0.11666666666666667,1.0,0.7580645161290323
persona_meta,gemma-3-4b-it,Gemma-3,standard,4.0,libertarian,primary,62,62,62,0,62,-0.11478494623655915,-0.11333333333333333,0.16666666666666666,1.0,1.0
self_correction,Qwen3-14B_no_think,Qwen3,no_think,14.0,authoritarian,primary,62,0,0,0,0,0.0016129032258064516,0.0,0.023333333333333334,0.0,
self_correction,Qwen3-14B_no_think,Qwen3,no_think,14.0,libertarian,primary,62,0,0,0,0,-0.0004838709677419355,0.0,0.03,0.0,
self_correction,Qwen3-14B_think,Qwen3,think,14.0,authoritarian,primary,62,0,0,0,0,-0.0006989247311827957,0.0,0.016666666666666666,0.0,
self_correction,Qwen3-14B_think,Qwen3,think,14.0,libertarian,primary,62,1,0,0,0,-0.0003763440860215053,0.0,0.016666666666666666,0.016129032258064516,0.0
